Technik/Strategie,Kurzbeschreibung,Ziel,Beispiel einer Zusammenarbeit
Die „Ja aber“-Technik,"Zustimmung zum Einwand, gefolgt von einer Entkräftung oder Relativierung.",Vertrauen schaffen und den Kunden öffnen.,"Ja, der Preis scheint hoch, aber bedenken Sie, dass Sie durch die Zeitersparnis langfristig Kosten reduzieren. "
"Die Feel, Felt, Found-Methode","Verständnis zeigen, ähnliche Kundenerfahrungen anführen und den Nutzen erklären.",Einfühlungsvermögen zeigen und den Nutzen verdeutlichen.,"Ich verstehe Ihre Skepsis. Andere Kunden fühlen sich ähnlich, fanden aber, dass unser System ihre Prozesse vereinfacht hat. "
Die „Boomerang“-Technik,Den Einwand in ein Verkaufsargument umwandeln.,Einwand positiv umdeuten und entkräften.,"Das klingt nach einer Herausforderung, aber genau hier liegt der Vorteil unseres Systems: Es spart Zeit und Geld. "
Die „Isolations“-Technik,"Den Einwand isolieren, um zu prüfen, ob er der einzige Ablehnungsgrund ist.",Den Hauptgrund des Einwands identifizieren.,"Abgesehen von den Kosten, gibt es weitere Bedenken, die Sie haben? "
Die Rückfrage-Technik,Durch Fragen den Kunden zur Reflexion und Relativierung seines Einwands bringen.,Den Kunden aktiv in die Lösung einbinden.,"Was genau lässt Sie glauben, dass unser System nicht Ihren Anforderungen entspricht? "
Die „Vergleichs“-Technik,"Den Kunden bitten, das Angebot mit Alternativen zu vergleichen, um Vorteile hervorzuheben.",Die Vorteile des Angebots verdeutlichen.,Wie schneidet unser System im Vergleich zu Ihrer aktuellen Lösung ab?
Die Zusammenfassungs-Technik,Einwände zusammenfassen und passende Lösungen präsentieren.,Klarheit schaffen und Lösungen anbieten.,"Wenn ich Sie richtig verstehe, sorgen Sie sich um die Kosten. Wir könnten gemeinsam darüber nachdenken. "
Die „Referenz“-Technik,Positive Erfahrungen anderer Kunden als Beispiele anführen.,Vertrauen und Glaubwürdigkeit stärken.,Ein Unternehmen in Ihrer Branche hat mit unserem System 30% Verwaltungsaufwand eingespart.
Zukunftsprojektions-Technik,"Den Kunden bitten, sich zukünftige Vorteile der Lösung vorzustellen.",Die Zukunftsperspektive betonen und den Nutzen greifbar machen.,"Stellen Sie sich vor, Ihre Mitarbeiter könnten Bestellungen in wenigen Minuten abschließen. "
Die „Alternative“-Technik,"Mehrere Optionen bieten, um dem Kunden das Gefühl der Kontrolle zu geben.",Dem Kunden Entscheidungsspielraum geben und Kontrolle vermitteln.,Bevor wir weitermachen: Wollen Sie sich für das Standardpaket oder die erweiterte Lösung entscheiden?
Neuausrichtung / Sozialer Beweis,Einwände positiv umdeuten; Erfahrungen und Erfolgsgeschichten anderer nutzen.,Fokus auf Chancen lenken; Vertrauen aufbauen.,"Das zeigt doch, dass Sie ein großes Potenzial haben. Ähnliche Unternehmen haben bereits 30% Zeitersparnis erreicht. "
Empathie zeigen,"Verständnis für den Einwand signalisieren, um Vertrauen aufzubauen.",Positive Gesprächsatmosphäre schaffen.,"Das klingt nach einer berechtigten Sorge. Ich verstehe, warum Sie so denken. "
Nutzen statt Kosten,Fokus auf die langfristigen Vorteile und den Nutzen der Lösung.,"Wert der Lösung hervorheben, statt Kosten zu betonen.","Die Investition heute wird Ihnen helfen, langfristig weniger auszugeben. "
Hypothetisches Szenario,"Den Kunden bitten, sich ein positives Ergebnis vorzustellen.",Den Nutzen emotional und greifbar machen.,"Was wäre, wenn Sie jeden Monat fünf Stunden Verwaltungsarbeit sparen könnten? "
ROI-Methode,Den potenziellen Return on Investment berechnen und aufzeigen.,Den wirtschaftlichen Vorteil betonen.,Mit der Einsparung von 20% Zeit würde sich das System innerhalb eines Jahres amortisieren.
Schritt-für-Schritt-Ansatz,Die Lösung modular und in kleinen Schritten präsentieren.,Angst vor großen Veränderungen nehmen.,Wir können mit einer kleinen Abteilung beginnen und die Lösung später ausweiten.
Konkretisieren durch Fragen,"Kunden dazu bringen, Einwände oder Anforderungen klar zu formulieren.",Das Problem besser verstehen und Lösungen anbieten.,Welche spezifischen Herausforderungen möchten Sie mit einem neuen System lösen?
Testphase / Entlastung,Risikofreie Testphase oder Übernahme technischer Aufgaben anbieten.,Widerstände abbauen; Vertrauen stärken.,Lassen Sie uns eine einmonatige Testphase einrichten. Unser Team übernimmt die komplette Einrichtung.
„Das ist genau der Punkt“ / Kontextualisierung,Einwand als Argument nutzen; Einwand in den größeren Zusammenhang setzen.,Herausforderungen lösen; Gesamtvorteil aufzeigen.,"Genau deshalb haben wir das System entwickelt. Im Gesamtbild sparen Sie nicht nur Zeit, sondern auch Budget. "
Erfolgsprojektion,"Aufzeigen, wie andere Kunden ähnliche Herausforderungen gemeistert haben.",Vertrauen in Erfolgsaussichten stärken.,Ein Logistikunternehmen konnte mit unserem System die Effizienz um 25% steigern.
Negation durch Vergleich,"Fragen, was passiert, wenn keine Lösung implementiert wird.",Dringlichkeit und Notwendigkeit vermitteln.,"Was würde passieren, wenn sich Ihre aktuellen Herausforderungen weiterhin aufstauen? "
Selbstoffenlegung / Was wäre wenn / Eskalation,Eigene Erfahrungen teilen; Ergebnisse antizipieren; Experten einbinden.,Emotionale Basis schaffen; Autorität nutzen.,Ich erinnere mich an einen Kunden mit ähnlichen Bedenken. Ich lade gerne unseren technischen Leiter dazu ein.
Puffertechnik / Emotionale Spiegelung,Zeit gewinnen; Emotionen des Kunden spiegeln.,Druck aus der Situation nehmen; Nähe aufbauen.,"Das ist ein wichtiger Punkt. Lassen Sie mich kurz prüfen. Ich merke, dass das Thema Budget für Sie wichtig ist. "
Dissoziationstechnik,Situation aus der Perspektive Dritter betrachten.,Perspektive erweitern; rationales Denken fördern.,"Wie würden Sie die Lösung bewerten, wenn Sie sie aus Sicht eines Kollegen betrachten? "
Priorisierung,Einwände relativieren und auf wichtigste Punkte fokussieren.,Fokus auf lösbare Herausforderungen lenken.,"Wenn wir Ihre drei größten Herausforderungen priorisieren müssten, wo würden wir beginnen? "
Risikotransfer,Risiken durch Garantien oder Support übernehmen.,Vertrauen schaffen und Ängste minimieren.,"Wir garantieren, dass die Implementierung reibungslos verläuft. "
Provokationsstrategie,"Den Kunden sanft provozieren, um ihn aus Ablehnung zu lösen.",Zum Nachdenken anregen; Diskussion eröffnen.,"Wenn das aktuelle System so gut funktioniert, warum gibt es dann immer wieder Verzögerungen? "
Vereinfachungskommunikation,Komplexe Lösungen in einfacher Sprache erklären.,Verständnis und Akzeptanz schaffen.,"Unser System funktioniert wie ein Online-Shop – einfach, schnell und übersichtlich. "
Abwägungsfragen,Wahl zwischen zwei positiven Optionen lassen.,Den Kunden in Richtung einer Entscheidung führen.,Würden Sie lieber mit der Testphase beginnen oder direkt mit der kompletten Lösung starten?
Bedingte Zustimmung,"Teilweise Zustimmung, gefolgt von starker Argumentation.",Vertrauen und Raum für Argumentation schaffen.,"Sie haben recht, die Investition ist nicht gering, aber die Einsparungen machen das wett. "
Regelbruchstrategie,"Erwartungen brechen, um Aufmerksamkeit zu gewinnen.",Aufmerksamkeit erzeugen; emotional öffnen.,"Unser Ansatz unterscheidet sich radikal: Wir starten dort, wo andere aufhören. "
Langfristigkeit,Nachhaltigkeit und Zukunftsfähigkeit hervorheben.,Langfristiges Denken fördern.,"Unser System ist so flexibel, dass es mit Ihrem Unternehmen wachsen kann. "
Transparenzstrategie,Alle Kosten und Nutzen offenlegen.,Glaubwürdigkeit erhöhen; Skepsis abbauen.,Hier ist eine detaillierte Kostenübersicht und der erwartete ROI für das erste Jahr.
